"participant_id","theta"
"395418",-1.51119367955267
"453498",-0.856986504823242
"464535",-0.35480638591105
"510328",1.50986673588761
"591564",-1.94572255198732
"651279",1.65219067659369
"652257",-0.114799920059846
"657267",-0.293835752731056
"669703",1.46197701357241
"692702",1.84731635600199
"694560",0.603527331293068
"695590",0.104350706628113
"699049",0.603527331293068
"699706",-0.35480638591105
"700422",0.104350706628113
"701258",-0.903607524890552
"701385",0.893346062769216
"702649",-0.35480638591105
"703660",0.893346062769216
"703712",-0.35480638591105
"703746",0.104350706628113
"703749",-0.856986504823242
"703754",-0.663259827120468
"703783",1.84731635600199
"703881",-0.35480638591105
"704041",-0.856986504823242
"704227",0.893346062769216
"704231",-0.856986504823242
"704234",-0.856986504823242
"704235",-1.51119367955267
"704247",-0.35480638591105
"704287",0.893346062769216
"704294",0.603527331293068
"704303",-0.856986504823242
"704352",0.603527331293068
"704357",0.104350706628113
"704391",-0.856986504823242
"704408",0.660313599179551
"704424",0.104350706628113
"704454",1.84731635600199
"704462",1.2555310692014
"704464",-0.35480638591105
"704489",-0.35480638591105
"704513",-0.856986504823242
"704529",0.981037268028225
"704542",1.6241407589595
"704545",-0.258475154106142
"704573",0.104350706628113
"704580",-0.856986504823242
"704605",0.104350706628113
"704643",1.02571105148883
"704656",0.603527331293068
"704664",-0.856986504823242
