participant_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
145837,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168052,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
176494,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
327467,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
327574,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
335529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
343441,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
370963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
383340,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
417017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423851,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
430031,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
431290,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
433749,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
446287,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
448818,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
448834,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
450561,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
456167,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
467137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
471986,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
488558,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
488577,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
492392,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
493068,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
497396,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
507210,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
510428,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
520029,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
523750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
524067,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
526980,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
547036,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
591921,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
601166,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
615181,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
616942,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
621485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
623155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
624294,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
627038,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
628117,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
640395,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
641246,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
642958,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
647165,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
648992,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
657356,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
659527,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
662795,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
663447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
664110,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
664606,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
666837,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
669596,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
672742,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
674529,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
675322,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
675485,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
675510,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
675511,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
675528,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
676115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
676134,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
676179,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
676375,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
676388,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
676486,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
676490,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
676715,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
