AccountId,AssessmentId,AssessmentVersionId,Score,DisplayScore,Percentage,Percentile,Locale,CreationDate,TotalResponses,CorrectResponses,ReactionTime,BonusAwards,Level,FailedLevels,EarlyResponses,LateResponses,ContentReferenceId,Value,ResourceDescription
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1760,/images/assessments/eyeball/ball_11.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1761,/images/assessments/eyeball/ball_12.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1762,/images/assessments/eyeball/ball_13.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1763,/images/assessments/eyeball/ball_14.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1764,/images/assessments/eyeball/ball_15.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1765,/images/assessments/eyeball/ball_16.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1766,/images/assessments/eyeball/ball_17.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1767,/images/assessments/eyeball/ball_18.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1768,/images/assessments/eyeball/ball_19.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1769,/images/assessments/eyeball/ball_20.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1770,/images/assessments/eyeball/ball_21.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1771,/images/assessments/eyeball/ball_22.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1772,/images/assessments/eyeball/ball_23.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1773,/images/assessments/eyeball/ball_24.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1774,/images/assessments/eyeball/ball_25.png,Precache
694707,7,94,61,600,26.06837606837607,0,es,2025-10-14 10:32:56.152,,,9.9486,,,,,,1775,/images/assessments/eyeball/ball_26.png,Precache
