theta_true,bias,bias_sd,mae,rmse,se_mean,se_median,n
-3.0,0.678665814919258,0.3104758738893643,0.6816461757696584,0.7450198998966655,0.44504429879459606,0.4476169341224318,50
-2.5,0.3956674541591251,0.40678942047627664,0.4881716330450424,0.5645536415965801,0.42729827282094457,0.43954577720623095,50
-2.0,0.18443304815944322,0.2933405636834996,0.2921955591663809,0.34401055482280446,0.4052754096291588,0.41042094365816534,50
-1.5,0.1144437583734235,0.28403901497683626,0.24157894203311192,0.30358190430107285,0.3562772564866848,0.3579608581430999,50
-1.0,0.006726738943119716,0.30637514297539037,0.23277418334030497,0.30337050398042326,0.3159845627479049,0.3071879962011336,50
-0.5,0.05169155114259486,0.28217677176036376,0.23733141733882002,0.2840832138127945,0.2814398064780974,0.28337424755418733,50
0.0,-0.06542736249058424,0.20897030692420818,0.1662161677449486,0.21696994528033628,0.25313963995371674,0.24578346093009634,50
0.5,-0.055773759387627624,0.2426140008832321,0.20073132345321093,0.24656649121952187,0.19147840273063596,0.18080850141192034,50
1.0,-0.046705947724295455,0.15950565638985376,0.1304386434301946,0.1646652935040519,0.1627880437823931,0.1664028886418738,50
1.5,-0.02821426986529621,0.11115543193719993,0.09771877701479009,0.11359781895879137,0.10564506349381969,0.10519065207887972,50
2.0,0.08920396145463914,0.20795181241555305,0.1538951606590653,0.22435780329726857,0.17386418014426874,0.1337964314817908,50
2.5,-0.08343042546021301,0.0836602975220722,0.08343042546021301,0.11755722166810582,0.3365189209509346,0.34809003058220045,50
3.0,-0.5626353550107832,0.0,0.5626353550107832,0.5626353550107832,0.34809003058220045,0.34809003058220045,50
