,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
587714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
590605,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
591346,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
591827,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
595780,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
599858,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
601075,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601166,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602698,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602826,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603240,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
605945,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
606267,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
606648,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
612246,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
612517,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
616942,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621361,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621898,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
621948,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
622123,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
624422,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628058,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628254,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
629243,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632925,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
634045,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
635039,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
635834,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
638070,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639785,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
641246,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
643727,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
646837,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
647219,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
647728,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648374,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658001,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
670541,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
670745,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
676490,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
679084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
680818,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
680906,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680975,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
681385,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681425,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
681538,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681853,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683015,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683591,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
684040,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684473,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684906,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
685092,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
685111,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
685146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685406,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685900,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686012,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686013,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686040,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
686073,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686082,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
686146,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686189,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686317,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
686356,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
686388,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
686392,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
686396,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
686407,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
686417,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
686447,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0
686486,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686514,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686588,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
686597,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
686601,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686627,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686683,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
686750,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
686757,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
686775,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
686781,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
686829,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
686866,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686882,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
686924,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686955,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
686977,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
687068,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
687207,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
687374,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
687390,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
