theta_true,trial,seed,est,error,abs_error,rmse_contrib,se
-3.0,0,1016164991,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,1,1099128568,-3.3195581311747997,-0.3195581311747997,0.3195581311747997,0.10211739919993049,0.22845828130711618
-3.0,2,1621709874,-3.3195581311747997,-0.3195581311747997,0.3195581311747997,0.10211739919993049,0.22845828130711618
-3.0,3,2041105244,-3.3195581311747997,-0.3195581311747997,0.3195581311747997,0.10211739919993049,0.22845828130711618
-3.0,4,74845286,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,5,309580410,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,6,1767258088,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,7,2037209174,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,8,535214420,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,9,669652943,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,10,1866217507,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,11,909086626,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,12,586626705,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,13,1777477784,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,14,551886180,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,15,878748453,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,16,1382612244,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,17,1180243456,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,18,184123696,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,19,59182744,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,20,1858836761,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,21,1618157078,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,22,1799343697,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,23,1155653964,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,24,1755663523,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,25,708093468,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,26,972122756,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,27,1693137747,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,28,266112162,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,29,651105937,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,30,267191830,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,31,973879301,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,32,2097889540,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,33,287852352,-3.3195581311747997,-0.3195581311747997,0.3195581311747997,0.10211739919993049,0.22845828130711618
-3.0,34,823155374,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,35,865678546,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,36,1941050025,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,37,436916801,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,38,1078591221,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,39,563313608,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,40,42568569,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,41,1611395863,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,42,133188514,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,43,602173222,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-3.0,44,1069973050,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,45,1041939683,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,46,251122470,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,47,2106117098,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,48,1608686207,-2.829010288809829,0.1709897111901708,0.1709897111901708,0.029237481332898024,0.09736796704173274
-3.0,49,2065143097,-3.0189570139869075,-0.018957013986907523,0.018957013986907523,0.00035936837929980743,0.0823691741278759
-2.75,0,197792238,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,1,1556474545,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,2,629526660,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,3,1162275821,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,4,1986274267,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,5,594619332,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,6,1558804747,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,7,344997561,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,8,692725760,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,9,2082898963,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,10,904342678,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,11,1108248847,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,12,629145195,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,13,248819507,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,14,911820705,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,15,1338934053,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,16,978390736,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,17,1667914286,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,18,779217002,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,19,1316414564,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,20,1659553368,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,21,1969881820,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,22,917647715,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,23,85025054,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,24,1543026409,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,25,1135136798,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,26,1872810736,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,27,986416296,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,28,790444289,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,29,133894701,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,30,981769744,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,31,1377241755,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,32,1653715900,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,33,1831015077,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,34,461373844,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,35,1273331139,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,36,1727528594,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,37,558555015,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,38,740102319,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,39,1803631831,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,40,1248920237,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,41,1094134073,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,42,1446720799,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,43,1097125524,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,44,2106555450,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,45,1617120056,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,46,116244472,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,47,317660152,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.75,48,1170534941,-2.662332950248795,0.0876670497512051,0.0876670497512051,0.007685511612080269,0.06916275290430404
-2.75,49,1760134975,-2.829010288809829,-0.07901028880982919,0.07901028880982919,0.006242625737812619,0.09736796704173274
-2.5,0,148210009,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,1,1467347456,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,2,1631001374,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,3,1690277810,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,4,1875496127,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,5,411492782,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,6,1192456270,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,7,1723063914,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,8,768793750,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,9,410865002,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,10,1029694513,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,11,175132911,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,12,472445100,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,13,1836585941,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,14,1433718042,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,15,1849592223,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,16,1803912902,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,17,1882349080,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,18,666884549,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,19,1013418405,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,20,1325896902,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,21,588514432,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,22,1974475030,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
