"participant_id","theta"
"P1",-3.53605150647174
"P2",-2.28019641229848
"P3",-1.05612944798807
"P4",3.60746768530102
"P5",-4.58264279317804
"P6",3.60746768530102
"P7",-1.05612944798807
"P8",-1.05612944798807
"P9",3.60746768530102
"P10",4.47451774985639
"P11",1.02954545819539
"P12",0.0527970953077194
"P13",1.02954545819539
"P14",-1.05612944798807
"P15",0.0527970953077194
"P16",-2.28019641229848
"P17",1.90327959911525
"P18",-1.05612944798807
"P19",1.90327959911525
"P20",-1.05612944798807
"P21",0.0527970953077194
"P22",-2.28019641229848
"P23",-2.28019641229848
"P24",4.47451774985639
"P25",-1.05612944798807
"P26",-2.28019641229848
"P27",1.90327959911525
"P28",-2.28019641229848
"P29",-2.28019641229848
"P30",-3.53605150647174
"P31",-1.05612944798807
"P32",1.90327959911525
"P33",1.02954545819539
"P34",-2.28019641229848
"P35",1.02954545819539
"P36",0.0527970953077194
"P37",-2.28019641229848
"P38",1.02954545819539
"P39",0.0527970953077194
"P40",4.47451774985639
"P41",2.73789566158441
"P42",-1.05612944798807
"P43",-1.05612944798807
"P44",-2.28019641229848
"P45",1.90327959911525
"P46",3.60746768530103
"P47",-1.05612944798807
"P48",0.0527970953077194
"P49",-2.28019641229848
"P50",0.0527970953077194
"P51",1.90327959911525
"P52",1.02954545819539
"P53",-2.28019641229848
