,AccountId,Score,Percentage
248,422478,5,23.80952381
249,423851,21,100.0
250,424204,8,38.0952381
251,424570,21,100.0
252,424860,6,28.57142857
253,425348,3,14.28571429
254,425749,9,42.85714286
255,426311,5,23.80952381
256,427143,21,100.0
257,427317,5,23.80952381
259,427720,6,28.57142857
260,428182,3,14.28571429
261,428210,5,23.80952381
262,428875,6,28.57142857
263,429041,6,28.57142857
264,429046,21,100.0
265,430482,6,28.57142857
266,430711,7,33.33333333
267,431290,6,28.57142857
268,433749,6,28.57142857
269,434201,9,42.85714286
270,435008,9,42.85714286
271,435049,9,42.85714286
272,435402,6,28.57142857
273,436071,21,100.0
274,436166,6,28.57142857
275,436273,10,47.61904762
276,436711,5,23.80952381
277,437658,7,33.33333333
278,438495,8,38.0952381
279,438966,8,38.0952381
280,440657,6,28.57142857
281,440812,8,38.0952381
282,440981,12,57.14285714
283,441607,11,52.38095238
284,442736,8,38.0952381
285,442803,6,28.57142857
286,442824,6,28.57142857
287,443214,20,95.23809524
288,444110,0,0.0
289,444298,10,47.61904762
290,445540,8,38.0952381
291,445765,7,33.33333333
292,446287,6,28.57142857
293,446363,6,28.57142857
294,446933,5,23.80952381
296,446988,5,23.80952381
297,447397,6,28.57142857
298,448174,8,38.0952381
299,448381,5,23.80952381
300,448818,6,28.57142857
301,448834,10,47.61904762
302,449479,5,23.80952381
303,449523,5,23.80952381
304,450322,21,100.0
305,451167,9,42.85714286
306,451615,10,47.61904762
307,451700,6,28.57142857
308,452578,21,100.0
309,452840,8,38.0952381
310,453498,6,28.57142857
311,453897,11,52.38095238
312,454052,9,42.85714286
313,454395,21,100.0
314,455419,21,100.0
315,455585,8,38.0952381
316,456167,9,42.85714286
317,456859,20,95.23809524
318,457352,8,38.0952381
319,457836,5,23.80952381
320,458642,9,42.85714286
321,459222,6,28.57142857
322,459571,10,47.61904762
323,460008,4,19.04761905
325,460275,21,100.0
326,460640,11,52.38095238
327,462829,21,100.0
328,463871,5,23.80952381
329,464535,12,57.14285714
330,465054,5,23.80952381
331,465398,21,100.0
332,465598,4,19.04761905
333,465643,6,28.57142857
334,465839,6,28.57142857
335,467137,21,100.0
336,467554,21,100.0
337,467833,8,38.0952381
338,467967,13,61.9047619
339,469696,5,23.80952381
341,469797,6,28.57142857
342,469906,8,38.0952381
343,470882,20,95.23809524
344,470886,6,28.57142857
345,471986,5,23.80952381
347,472081,11,52.38095238
348,472217,7,33.33333333
349,472745,5,23.80952381
350,473362,9,42.85714286
351,473369,21,100.0
352,473839,6,28.57142857
353,475230,19,90.47619048
354,476012,5,23.80952381
355,476020,21,100.0
