,AccountId,Score,Percentage
0,130850,8,38.095238095238095
1,163974,18,85.71428571428571
2,168052,6,28.57142857142857
3,227411,21,100.0
4,258059,8,38.095238095238095
5,319886,6,28.57142857142857
6,321537,9,42.857142857142854
7,324619,6,28.57142857142857
8,327467,8,38.095238095238095
9,354148,21,100.0
10,355470,12,57.14285714285714
11,363033,8,38.095238095238095
12,365813,5,23.809523809523807
13,373957,7,33.33333333333333
14,378496,7,33.33333333333333
15,383340,0,0.0
18,399550,8,38.095238095238095
20,424204,8,38.095238095238095
21,434201,9,42.857142857142854
22,435008,9,42.857142857142854
23,438966,8,38.095238095238095
24,440657,6,28.57142857142857
25,456167,9,42.857142857142854
26,457352,8,38.095238095238095
27,465398,21,100.0
28,465643,6,28.57142857142857
29,467137,21,100.0
30,467967,13,61.904761904761905
31,477235,4,19.047619047619047
32,480543,5,23.809523809523807
33,480705,21,100.0
36,481898,20,95.23809523809523
38,483241,7,33.33333333333333
39,494007,6,28.57142857142857
40,494308,7,33.33333333333333
41,499918,9,42.857142857142854
42,511043,6,28.57142857142857
43,519157,8,38.095238095238095
44,519253,15,71.42857142857143
45,520956,5,23.809523809523807
46,532790,6,28.57142857142857
47,535993,8,38.095238095238095
48,539295,0,0.0
49,541635,6,28.57142857142857
50,542132,6,28.57142857142857
51,542395,8,38.095238095238095
52,547684,9,42.857142857142854
53,549886,8,38.095238095238095
54,550843,7,33.33333333333333
55,553564,7,33.33333333333333
57,555069,7,33.33333333333333
58,555733,16,76.19047619047619
59,556150,7,33.33333333333333
60,559753,5,23.809523809523807
61,562792,18,85.71428571428571
62,565952,8,38.095238095238095
63,575447,14,66.66666666666666
64,575764,8,38.095238095238095
65,578593,9,42.857142857142854
66,578640,7,33.33333333333333
67,580015,21,100.0
68,580431,11,52.38095238095239
69,580981,21,100.0
70,581428,10,47.61904761904761
71,581926,6,28.57142857142857
72,583821,10,47.61904761904761
73,583863,5,23.809523809523807
74,584737,21,100.0
75,587432,5,23.809523809523807
76,587714,21,100.0
77,590605,9,42.857142857142854
78,591346,11,52.38095238095239
79,591827,10,47.61904761904761
80,595780,10,47.61904761904761
81,599858,21,100.0
82,601075,7,33.33333333333333
83,601166,6,28.57142857142857
84,602698,7,33.33333333333333
85,602826,6,28.57142857142857
86,603240,21,100.0
87,605945,8,38.095238095238095
88,606267,21,100.0
89,606648,10,47.61904761904761
90,612246,12,57.14285714285714
91,612517,12,57.14285714285714
92,616942,6,28.57142857142857
93,621361,6,28.57142857142857
94,621898,10,47.61904761904761
95,621948,10,47.61904761904761
96,622123,9,42.857142857142854
97,624422,2,9.523809523809524
98,628058,21,100.0
99,628254,8,38.095238095238095
100,629243,6,28.57142857142857
101,632925,21,100.0
102,634045,9,42.857142857142854
103,635039,8,38.095238095238095
104,635834,9,42.857142857142854
105,638070,5,23.809523809523807
106,639785,10,47.61904761904761
107,641246,8,38.095238095238095
108,643727,9,42.857142857142854
109,646837,20,95.23809523809523
110,647219,9,42.857142857142854
111,647728,7,33.33333333333333
112,648374,6,28.57142857142857
113,658001,8,38.095238095238095
114,670541,8,38.095238095238095
115,670745,17,80.95238095238095
116,676490,6,28.57142857142857
117,677505,20,95.23809523809523
118,679084,21,100.0
119,680818,8,38.095238095238095
120,680906,6,28.57142857142857
