AccountId,AssessmentId,AssessmentVersionId,Score,DisplayScore,Percentage,Percentile,CreationDate,AnswerTypeId,TotalResponses,CorrectResponses,ReactionTime,BonusAwards,Level,FailedLevels
694515,5,150,6,600,40,0,2025-10-13 17:46:07,4,,,,0,6,"4:1:4,7:1:4,7:2:5,7:3:4,8:1:6,8:2:2,8:3:3"
694515,5,150,6,600,40,0,2025-10-13 17:46:07,6,,,,0,,
694423,5,150,8,700,53.33333333,0,2025-10-13 17:10:13,2,17,7,,,,
694423,5,150,8,700,53.33333333,0,2025-10-13 17:10:13,3,,,3.423333333,,,
694423,5,150,8,700,53.33333333,0,2025-10-13 17:10:13,4,,,,0,8,"4:1:4,5:1:3,5:2:1,5:3:5,9:1:8,9:2:7,9:3:6,10:1:8,10:2:4,10:3:6"
694423,5,150,8,700,53.33333333,0,2025-10-13 17:10:13,6,,,,0,,
693683,5,150,7,700,46.66666667,0,2025-10-13 17:08:46,2,13,7,,,,
693683,5,150,7,700,46.66666667,0,2025-10-13 17:08:46,3,,,4.364,,,
693683,5,150,7,700,46.66666667,0,2025-10-13 17:08:46,4,,,,0,7,"8:1:4,8:2:2,8:3:5,9:1:3,9:2:0,9:3:5"
693683,5,150,7,700,46.66666667,0,2025-10-13 17:08:46,6,,,,0,,
694521,5,150,8,700,53.33333333,0,2025-10-13 17:00:21,2,17,7,,,,
694521,5,150,8,700,53.33333333,0,2025-10-13 17:00:21,3,,,5.436,,,
694521,5,150,8,700,53.33333333,0,2025-10-13 17:00:21,4,,,,0,8,"6:1:6,6:2:6,6:3:4,8:1:5,9:1:1,9:2:2,9:3:4,10:1:6,10:2:0,10:3:4"
694521,5,150,8,700,53.33333333,0,2025-10-13 17:00:21,6,,,,0,,
694517,5,150,4,400,26.66666667,0,2025-10-13 16:28:31,2,10,4,,,,
694517,5,150,4,400,26.66666667,0,2025-10-13 16:28:31,3,,,2.323,,,
694517,5,150,4,400,26.66666667,0,2025-10-13 16:28:31,4,,,,0,4,"5:1:4,5:2:5,5:3:5,6:1:5,6:2:5,6:3:6"
694517,5,150,4,400,26.66666667,0,2025-10-13 16:28:31,6,,,,0,,
694482,5,150,4,400,26.66666667,0,2025-10-13 13:50:49,2,10,4,,,,
694482,5,150,4,400,26.66666667,0,2025-10-13 13:50:49,3,,,3.057333333,,,
694482,5,150,4,400,26.66666667,0,2025-10-13 13:50:49,4,,,,0,4,"5:1:2,5:2:1,5:3:5,6:1:6,6:2:6,6:3:1"
694482,5,150,4,400,26.66666667,0,2025-10-13 13:50:49,6,,,,0,,
694458,5,150,10,1000,66.66666667,0,2025-10-13 13:45:08,2,19,10,,,,
694458,5,150,10,1000,66.66666667,0,2025-10-13 13:45:08,3,,,26.81111111,,,
694458,5,150,10,1000,66.66666667,0,2025-10-13 13:45:08,4,,,,0,10,"2:1:0,8:1:6,10:1:5,11:1:4,11:2:7,11:3:0,12:1:12,12:2:7,12:3:4"
694458,5,150,10,1000,66.66666667,0,2025-10-13 13:45:08,6,,,,0,,
694476,5,150,9,900,60,0,2025-10-13 13:34:08,2,15,9,,,,
694476,5,150,9,900,60,0,2025-10-13 13:34:08,3,,,4.204375,,,
694476,5,150,9,900,60,0,2025-10-13 13:34:08,4,,,,0,9,"10:1:6,10:2:4,10:3:7,11:1:4,11:2:7,11:3:6"
694476,5,150,9,900,60,0,2025-10-13 13:34:08,6,,,,0,,
694461,5,150,15,1400,100,0,2025-10-13 12:32:59,2,20,14,,,,
694461,5,150,15,1400,100,0,2025-10-13 12:32:59,3,,,8.143692308,,,
694461,5,150,15,1400,100,0,2025-10-13 12:32:59,4,,,,3,15,"6:1:6,10:1:4,10:2:5,10:3:2,11:1:0,12:1:1"
694461,5,150,15,1400,100,0,2025-10-13 12:32:59,6,,,,0,,
692743,5,150,7,600,46.66666667,0,2025-10-13 12:22:59,2,20,6,,,,
692743,5,150,7,600,46.66666667,0,2025-10-13 12:22:59,3,,,4.421166667,,,
692743,5,150,7,600,46.66666667,0,2025-10-13 12:22:59,4,,,,0,7,"1:1:0,5:1:5,5:2:4,5:3:4,6:1:4,6:2:5,7:1:5,7:2:4,8:1:5,8:2:2,8:3:6,9:1:6,9:2:7,9:3:3"
692743,5,150,7,600,46.66666667,0,2025-10-13 12:22:59,6,,,,0,,
694462,5,150,11,1100,73.33333333,0,2025-10-13 12:20:19,2,18,11,,,,
694462,5,150,11,1100,73.33333333,0,2025-10-13 12:20:19,3,,,4.514,,,
694462,5,150,11,1100,73.33333333,0,2025-10-13 12:20:19,4,,,,0,11,"9:1:8,12:1:8,12:2:8,12:3:3,13:1:13,13:2:4,13:3:9"
694462,5,150,11,1100,73.33333333,0,2025-10-13 12:20:19,6,,,,0,,
687099,5,150,10,900,66.66666667,0,2025-10-13 12:04:20,2,18,9,,,,
687099,5,150,10,900,66.66666667,0,2025-10-13 12:04:20,3,,,2.226,,,
687099,5,150,10,900,66.66666667,0,2025-10-13 12:04:20,4,,,,0,10,"9:1:9,9:2:9,9:3:4,11:1:10,11:2:7,11:3:6,12:1:6,12:2:7,12:3:8"
687099,5,150,10,900,66.66666667,0,2025-10-13 12:04:20,6,,,,0,,
694421,5,150,6,600,40,0,2025-10-13 09:55:03,2,14,6,,,,
694421,5,150,6,600,40,0,2025-10-13 09:55:03,3,,,6.3006,,,
694421,5,150,6,600,40,0,2025-10-13 09:55:03,4,,,,0,6,"6:1:2,6:2:6,7:1:6,7:2:2,7:3:4,8:1:1,8:2:3,8:3:8"
694421,5,150,6,600,40,0,2025-10-13 09:55:03,6,,,,0,,
694423,5,150,7,700,46.66666667,0,2025-10-13 09:53:57,2,15,7,,,,
694423,5,150,7,700,46.66666667,0,2025-10-13 09:53:57,3,,,3.029833333,,,
694423,5,150,7,700,46.66666667,0,2025-10-13 09:53:57,4,,,,0,7,"4:1:4,5:1:2,8:1:4,8:2:1,8:3:7,9:1:2,9:2:5,9:3:5"
694423,5,150,7,700,46.66666667,0,2025-10-13 09:53:57,6,,,,0,,
693629,5,150,8,800,53.33333333,0,2025-10-13 08:48:11,2,15,8,,,,
693629,5,150,8,800,53.33333333,0,2025-10-13 08:48:11,3,,,2.878583333,,,
693629,5,150,8,800,53.33333333,0,2025-10-13 08:48:11,4,,,,0,8,"7:1:7,9:1:3,9:2:4,9:3:7,10:1:6,10:2:7,10:3:0"
693629,5,150,8,800,53.33333333,0,2025-10-13 08:48:11,6,,,,0,,
694200,5,150,7,700,46.66666667,0,2025-10-13 07:50:46,2,14,7,,,,
694200,5,150,7,700,46.66666667,0,2025-10-13 07:50:46,3,,,3.237,,,
694200,5,150,7,700,46.66666667,0,2025-10-13 07:50:46,4,,,,0,7,"6:1:6,8:1:8,8:2:3,8:3:4,9:1:0,9:2:3,9:3:8"
694200,5,150,7,700,46.66666667,0,2025-10-13 07:50:46,6,,,,0,,
694186,5,150,8,800,53.33333333,0,2025-10-13 05:45:26,2,14,8,,,,
694186,5,150,8,800,53.33333333,0,2025-10-13 05:45:26,3,,,3.519857143,,,
694186,5,150,8,800,53.33333333,0,2025-10-13 05:45:26,4,,,,0,8,"9:1:9,9:2:8,9:3:8,10:1:7,10:2:6,10:3:6"
694186,5,150,8,800,53.33333333,0,2025-10-13 05:45:26,6,,,,0,,
694183,5,150,11,1000,73.33333333,0,2025-10-13 05:41:58,2,22,10,,,,
694183,5,150,11,1000,73.33333333,0,2025-10-13 05:41:58,3,,,11.35166667,,,
694183,5,150,11,1000,73.33333333,0,2025-10-13 05:41:58,4,,,,0,11,"9:1:8,10:1:8,10:2:0,10:3:5,11:1:9,11:2:7,12:1:1,12:2:4,12:3:0,13:1:2,13:2:2,13:3:10"
694183,5,150,11,1000,73.33333333,0,2025-10-13 05:41:58,6,,,,0,,
694142,5,150,13,1200,86.66666667,0,2025-10-13 04:28:14,2,25,12,,,,
694142,5,150,13,1200,86.66666667,0,2025-10-13 04:28:14,3,,,9.821586207,,,
694142,5,150,13,1200,86.66666667,0,2025-10-13 04:28:14,4,,,,0,13,"10:1:7,10:2:2,11:1:6,12:1:5,12:2:6,12:3:7,13:1:0,14:1:10,14:2:0,14:3:3,15:1:14,15:2:3,15:3:7"
694142,5,150,13,1200,86.66666667,0,2025-10-13 04:28:14,6,,,,0,,
694142,5,150,7,700,46.66666667,0,2025-10-13 02:45:49,2,13,7,,,,
694142,5,150,7,700,46.66666667,0,2025-10-13 02:45:49,3,,,2.7445,,,
694142,5,150,7,700,46.66666667,0,2025-10-13 02:45:49,4,,,,0,7,"8:1:8,8:2:6,8:3:8,9:1:7,9:2:7,9:3:9"
694142,5,150,7,700,46.66666667,0,2025-10-13 02:45:49,6,,,,0,,
694146,5,150,7,700,46.66666667,0,2025-10-13 00:57:08,2,14,7,,,,
694146,5,150,7,700,46.66666667,0,2025-10-13 00:57:08,3,,,3.277,,,
694146,5,150,7,700,46.66666667,0,2025-10-13 00:57:08,4,,,,0,7,"4:1:2,8:1:8,8:2:7,8:3:7,9:1:9,9:2:8,9:3:4"
694146,5,150,7,700,46.66666667,0,2025-10-13 00:57:08,6,,,,0,,
694127,5,150,4,400,26.66666667,0,2025-10-12 21:47:20,2,10,4,,,,
