AccountId,Score,Level,FailedLevels
694707,92,7.0,"5:1:5,5:2:5,8:1:8"
694859,57,5.0,"5:1:5,6:1:6,6:2:6"
694710,51,5.0,"5:1:5,5:2:5,6:1:6"
694125,26,3.0,"2:1:2,4:1:4,4:2:4"
694125_2,22,3.0,"3:1:3,3:2:3,4:1:4"
694597,63,5.0,"6:1:6,6:2:6,6:3:6"
694668,77,6.0,"5:1:5,7:1:7,7:2:7"
694677,63,5.0,"6:1:6,6:2:6,6:3:6"
