theta_true,bias,bias_sd,mae,rmse,se_mean,se_median,n
-3.0,0.3354823799657361,0.29105521533951373,0.36056719185680897,0.4422299208288361,0.39101783765899223,0.39132092375066635,50
-2.75,0.42821440510365105,0.36693642132048204,0.455742874066037,0.5615310029588094,0.3974838126287182,0.39193238973208444,50
-2.5,0.5196862581492961,0.39799213465193795,0.5532814186123158,0.6521530429041384,0.4098934418079161,0.4040855104050536,50
-2.25,0.38670241442178865,0.4464683504282261,0.47699113941478793,0.587270010723398,0.41536613330209593,0.41361751677970837,50
-2.0,0.349917119444832,0.4151765684077077,0.4261206215843365,0.5397834211758201,0.42535597311593515,0.4210564271456031,50
-1.75,0.37061474636092584,0.4261812828259474,0.47378305974091334,0.5615631454562525,0.43979075352308655,0.44267589398295193,50
-1.5,0.42388176154550494,0.4509368583596907,0.5106840837480564,0.6155915179676227,0.44503703849420506,0.4540951344119438,50
-1.25,0.29281471281442345,0.38034829938156806,0.40970468980680463,0.4769821677025202,0.4495761604049964,0.4560530718695681,50
-1.0,0.1786571401323348,0.40915665214921687,0.36831032273991,0.4426955572379972,0.4460648308083959,0.451803930222731,50
-0.75,0.11268768295387278,0.32198777600628253,0.26593920793052706,0.33808448534210367,0.44466182277898825,0.4560530718695681,50
-0.5,0.08581211285056797,0.329940914891882,0.28295165250737075,0.33770920313959,0.42853089590991933,0.43516793044826596,50
-0.25,-0.05867084212929331,0.33115461050393086,0.26638042011767615,0.33303509762937966,0.4182455467608844,0.4345130372647325,50
0.0,-0.10837811140470102,0.3156218843296611,0.28267482400572574,0.33071233031457964,0.3949642828676814,0.4019920576466837,50
0.25,-0.20908137327250426,0.37923674731464174,0.3231148901104308,0.4297198168027975,0.3695976803844189,0.34896968488359353,50
0.5,-0.12847850237452005,0.258259936992175,0.20751123886834658,0.28613101322033885,0.3175738851011214,0.30453520837930503,50
0.75,-0.10229689775651236,0.2924837891051476,0.26110792698554985,0.3070838433427013,0.26676745166832216,0.2661045028676745,50
1.0,-0.10400729541225848,0.2478514724520491,0.19776080269617527,0.2664943955277272,0.2191859274516784,0.21252170917252197,50
1.25,-0.08257044231623517,0.16976257009222678,0.1539186737468952,0.1872453511960459,0.16454796819386788,0.1641198011222446,50
1.5,-0.08722907337198968,0.13653300608463978,0.1158575173428979,0.16086437690437894,0.11243398343673683,0.10748915679840541,50
1.75,-0.03217179388431881,0.05818487334490185,0.04574941836467257,0.06597570930406219,0.04806294968683715,0.04491310929251266,50
2.0,0.07250351158093835,0.13944934795103633,0.07251788513514133,0.15592933470856943,0.06581486509758261,0.016835854868970854,50
2.25,0.14908420497477778,0.1031254149334626,0.16157628174880867,0.1806882795149049,0.2997842596233783,0.34605963462861866,50
2.5,-0.06185761088451001,0.07628180645849254,0.06185761088451001,0.09761608341343626,0.32613663892362965,0.34605963462861866,50
2.75,-0.3014535608186942,0.054373239389023144,0.3014535608186942,0.30622143868235785,0.3334439538817917,0.34605963462861866,50
3.0,-0.5431580544811784,0.04300726207232071,0.5431580544811784,0.5448241039518322,0.3389332622762737,0.34605963462861866,50
