theta_true,trial,seed,est,error,abs_error,rmse_contrib,se
-3.0,0,1016164991,-2.6261668483930913,0.37383315160690866,0.37383315160690866,0.13975122524035397,0.3897612372614686
-3.0,1,1099128568,-3.017940555876793,-0.017940555876792885,0.017940555876792885,0.0003218635451683277,0.39201943995675453
-3.0,2,1621709874,-3.435966310372949,-0.4359663103729492,0.4359663103729492,0.19006662378020267,0.3539058885626458
-3.0,3,2041105244,-2.722485438604548,0.27751456139545194,0.27751456139545194,0.07701433178651007,0.39061894968187016
-3.0,4,74845286,-2.587193542981349,0.41280645701865115,0.41280645701865115,0.1704091709562915,0.3895596431947033
-3.0,5,309580410,-2.9572554592795344,0.04274454072046563,0.04274454072046563,0.0018270957614035443,0.3924497402307259
-3.0,6,1767258088,-2.3066896465812943,0.6933103534187057,0.6933103534187057,0.4806792461575706,0.39202123097121144
-3.0,7,2037209174,-2.587193542981349,0.41280645701865115,0.41280645701865115,0.1704091709562915,0.3895596431947033
-3.0,8,535214420,-2.958931588553159,0.041068411446841147,0.041068411446841147,0.001686614418767033,0.39244629743006043
-3.0,9,669652943,-2.2825960080514616,0.7174039919485384,0.7174039919485384,0.5146684876636985,0.39259942244382445
-3.0,10,1866217507,-2.8444656757658957,0.1555343242341043,0.1555343242341043,0.024190926014959483,0.39193238973208444
-3.0,11,909086626,-2.8444656757658957,0.1555343242341043,0.1555343242341043,0.024190926014959483,0.39193238973208444
-3.0,12,586626705,-2.4831674826188865,0.5168325173811135,0.5168325173811135,0.26711585102249896,0.3896025896069846
-3.0,13,1777477784,-1.9929712726207855,1.0070287273792145,1.0070287273792145,1.0141068577670003,0.4040855104050536
-3.0,14,551886180,-2.3066896465812943,0.6933103534187057,0.6933103534187057,0.4806792461575706,0.39202123097121144
-3.0,15,878748453,-2.785652025161224,0.214347974838776,0.214347974838776,0.045945054317484545,0.39132092375066635
-3.0,16,1382612244,-2.825002978369718,0.17499702163028186,0.17499702163028186,0.030623957579469337,0.391742988730361
