theta_true,bias,bias_sd,mae,rmse,se_mean,se_median,n
-3.0,0.044370390219517136,0.1421956516290761,0.11294014407544001,0.14759384405728254,0.10095574744258927,0.09736796704173274,50
-2.75,-0.029007087241518903,0.07715661510820006,0.08160731709224196,0.08170368106819248,0.08890640280050413,0.09736796704173274,50
-2.5,0.08760963077290458,0.03606859060157383,0.0941029487828564,0.09460640447448013,0.12254254812857429,0.12363193170457981,50
-2.25,-0.02214573036717793,0.14954151076145183,0.12256060984134243,0.14968581611327378,0.1073202901484422,0.12363193170457981,50
-2.0,0.10315695417348714,0.0,0.10315695417348714,0.10315695417348714,0.14505411497572715,0.14505411497572715,50
-1.75,-0.06878527472531365,0.15517370478111975,0.1544161549309859,0.16831136355405427,0.1351432034554874,0.14505411497572715,50
-1.5,0.1479435153233207,0.06120958772185051,0.15985609204664303,0.1598717144548058,0.1531607525773394,0.1559439696065945,50
-1.25,-0.06268002006543222,0.09811618901194596,0.10234535620501921,0.11559859744264343,0.15164127649492654,0.1559439696065945,50
-1.0,0.0689062475003144,0.15395128966653476,0.15056816993857977,0.16725743792957037,0.11710819293508905,0.13215219790256574,50
-0.75,-0.05404069871527306,0.0,0.05404069871527306,0.05404069871527306,0.13215219790256574,0.13215219790256574,50
-0.5,0.09915115781197929,0.07307307309903877,0.11785652229280238,0.12273480609570675,0.0970206078692929,0.10182466799947919,50
-0.25,-0.09279927803082023,0.07614097270071092,0.11430500632048494,0.11955419178086427,0.09471954940420067,0.10182466799947919,50
0.0,-0.05182484041558743,0.04394809862018895,0.05721081232521601,0.0676655063454369,0.04883470715575263,0.06600003002495262,50
0.25,0.015342871376151144,0.009354601729342705,0.017322119829807206,0.01792099618072185,0.0016651796326647428,0.0003386592695143863,50
0.5,0.036649336310277676,0.04187525532800301,0.04059773239434747,0.055332089429133015,0.05504503171276892,0.05354024517596662,50
0.75,-0.034286065418505096,0.056348641546623175,0.05750221430606905,0.06547671569305262,0.054905055927317654,0.05960228065703775,50
1.0,-0.004143776869206874,0.06390695213249044,0.06316007879223451,0.06340021645853357,0.01643924678397917,0.012749049677911316,50
1.25,-0.00726967811077083,0.06741292630137376,0.0476715524201269,0.06713017801032843,0.0721851372368539,0.0803438930355353,50
1.5,-0.020082091159699455,0.03995262352708171,0.03979628960568049,0.044357392501242314,0.004461459658029131,0.003796536279381466,50
1.75,-0.03528878273275443,0.025303480000963677,0.035725391577631826,0.04327538520817039,0.038773766285789026,0.05345552418900147,50
2.0,0.007388795078778254,0.013231565013734223,0.007395881591130746,0.015038853652276817,0.015022318639847232,0.00295352172421985,50
2.25,-0.026206790598034012,0.024520443575616484,0.0319552391706807,0.03572146390521105,0.07561795819517321,0.07658231433973042,50
2.5,0.009726607399933114,0.04346202241609162,0.04123901606462137,0.044110943496589915,0.014171939335892553,0.0012829342017872706,50
2.75,0.04302887686333955,0.025929357972921865,0.04964567009787965,0.05010358487085136,0.014576490973125982,0.015417299422985224,50
3.0,-0.0027030822906148975,0.04950360898068018,0.039375372114793875,0.04908056448269186,0.03372170470350862,0.008000714587264087,50
